z     eps_p     eps_z
3.338516 1.000001 1.000000
3.354264 1.000000 1.000000
3.370012 1.000000 1.000000
3.385759 0.999999 1.000000
3.401507 0.999999 1.000000
3.417255 0.999999 1.000000
3.433002 0.999999 1.000000
3.448750 0.999999 1.000000
3.464498 0.999999 1.000000
3.480246 0.999999 1.000000
3.495993 1.000000 1.000000
3.511741 1.000000 1.000000
3.527489 1.000000 1.000000
3.543236 1.000001 1.000000
3.558984 1.000001 1.000000
3.574732 1.000001 1.000000
3.590480 1.000001 1.000000
3.606227 1.000001 1.000000
3.621975 1.000001 1.000000
3.637723 1.000001 1.000000
3.653471 1.000000 1.000000
3.669218 1.000000 1.000000
3.684966 0.999999 1.000000
3.700714 0.999999 1.000000
3.716461 0.999999 1.000000
3.732209 0.999999 1.000000
3.747957 0.999999 1.000000
3.763705 0.999999 1.000000
3.779452 0.999999 1.000000
3.795200 1.000000 1.000000
3.810948 1.000000 1.000000
3.826695 1.000001 1.000000
3.842443 1.000001 1.000000
3.858191 1.000001 1.000000
3.873939 1.000001 1.000000
3.889686 1.000001 1.000000
3.905434 1.000001 1.000000
3.921182 1.000001 1.000000
3.936929 1.000001 1.000000
3.952677 1.000000 1.000000
3.968425 1.000000 1.000000
3.984173 0.999999 1.000000
3.999920 0.999999 1.000000
4.015668 0.999999 1.000000
4.031416 0.999999 1.000000
4.047163 0.999999 1.000000
4.062911 0.999999 1.000000
4.078659 0.999999 1.000000
4.094407 1.000000 1.000000
4.110154 1.000000 1.000000
4.125902 1.000001 1.000000
4.141650 1.000001 1.000000
4.157397 1.000001 1.000000
4.173145 1.000001 1.000000
4.188893 1.000001 1.000000
4.204641 1.000001 1.000000
4.220388 1.000001 1.000000
4.236136 1.000001 1.000000
4.251884 1.000000 1.000000
4.267632 1.000000 1.000000
4.283379 0.999999 1.000000
4.299127 0.999999 1.000000
4.314875 0.999999 1.000000
4.330622 0.999999 1.000000
4.346370 0.999999 1.000000
4.362118 0.999999 1.000000
4.377866 0.999999 1.000000
4.393613 1.000000 1.000000
4.409361 1.000000 1.000000
4.425109 1.000001 1.000000
4.440856 1.000001 1.000000
4.456604 1.000001 1.000000
4.472352 1.000001 1.000000
4.488100 1.000001 1.000000
4.503847 1.000001 1.000000
4.519595 1.000001 1.000000
4.535343 1.000001 1.000000
4.551090 1.000000 1.000000
4.566838 1.000000 1.000000
4.582586 0.999999 1.000000
4.598334 0.999999 1.000000
4.614081 0.999999 1.000000
4.629829 0.999999 1.000000
4.645577 0.999999 1.000000
4.661324 0.999999 1.000000
4.677072 0.999999 1.000000
4.692820 1.000000 1.000000
4.708568 1.000000 1.000000
4.724315 1.000001 1.000000
4.740063 1.000001 1.000000
4.755811 1.000001 1.000000
4.771558 1.000001 1.000000
4.787306 1.000001 1.000000
4.803054 1.000001 1.000000
4.818802 1.000001 1.000000
4.834549 1.000001 1.000000
4.850297 1.000000 1.000000
4.866045 1.000000 1.000000
4.881793 0.999999 1.000000
4.897540 0.999999 1.000000
4.913288 0.999999 1.000000
4.929036 0.999999 1.000000
4.944783 0.999999 1.000000
4.960531 0.999999 1.000000
4.976279 0.999999 1.000000
4.992027 1.000000 1.000000
5.007774 1.000000 1.000000
5.023522 1.000001 1.000000
5.039270 1.000001 1.000000
5.055017 1.000001 1.000000
5.070765 1.000001 1.000000
5.086513 1.000001 1.000000
5.102261 1.000001 1.000000
5.118008 1.000001 1.000000
5.133756 1.000001 1.000000
5.149504 1.000000 1.000000
5.165251 1.000000 1.000000
5.180999 0.999999 1.000000
5.196747 0.999999 1.000000
5.212495 0.999999 1.000000
5.228242 0.999999 1.000000
5.243990 0.999999 1.000000
5.259738 0.999999 1.000000
5.275485 0.999999 1.000000
5.291233 1.000000 1.000000
5.306981 1.000000 1.000000
5.322729 1.000001 1.000000
5.338476 1.000001 1.000000
